"vote","age","party_id"
"clinton",56,"democrat"
"trump",65,"republican"
"clinton",80,"democrat"
"trump",38,"republican"
"trump",60,"republican"
"trump",35,"democrat"
"clinton",71,"democrat"
"clinton",62,"independent"
"clinton",71,"democrat"
"clinton",38,"democrat"
"clinton",65,"democrat"
"clinton",49,"democrat"
"clinton",71,"democrat"
"clinton",68,"democrat"
"clinton",63,"democrat"
"trump",54,"independent"
"clinton",39,"democrat"
"trump",76,"republican"
"clinton",33,"democrat"
"trump",38,"republican"
"clinton",43,"independent"
"trump",54,"republican"
"clinton",56,"democrat"
"clinton",58,"democrat"
"trump",49,"independent"
"clinton",57,"independent"
"trump",74,"independent"
"clinton",78,"independent"
"trump",63,"independent"
"clinton",80,"democrat"
"clinton",43,"independent"
"trump",30,"independent"
"clinton",30,"democrat"
"clinton",65,"democrat"
"trump",83,"republican"
"clinton",48,"independent"
"clinton",79,"independent"
"trump",54,"republican"
"trump",67,"independent"
"someone_else",55,"democrat"
"clinton",52,"independent"
"trump",53,"republican"
"clinton",55,"democrat"
"clinton",50,"democrat"
"trump",59,"republican"
"trump",57,"republican"
"trump",75,"democrat"
"someone_else",66,"republican"
"someone_else",78,"democrat"
"trump",56,"democrat"
"clinton",57,"democrat"
"clinton",55,"democrat"
"trump",61,"republican"
"clinton",61,"democrat"
"clinton",52,"democrat"
"clinton",44,"democrat"
"someone_else",78,"republican"
"trump",62,"republican"
"someone_else",26,"independent"
"someone_else",35,"democrat"
"clinton",55,"democrat"
"trump",30,"republican"
"trump",62,"independent"
"clinton",48,"democrat"
"trump",84,"republican"
"clinton",41,"democrat"
"trump",63,"independent"
"trump",59,"republican"
"trump",91,"republican"
"trump",36,"republican"
"trump",64,"independent"
"clinton",32,"democrat"
"trump",56,"republican"
"clinton",38,"democrat"
"trump",64,"democrat"
"trump",75,"independent"
"trump",57,"independent"
"clinton",38,"independent"
"clinton",61,"democrat"
"trump",74,"independent"
"clinton",58,"democrat"
"trump",70,"independent"
"clinton",68,"democrat"
"trump",39,"republican"
"trump",62,"republican"
"clinton",39,"independent"
"clinton",52,"democrat"
"trump",50,"republican"
"clinton",60,"democrat"
"clinton",77,"democrat"
"someone_else",58,"republican"
"clinton",28,"democrat"
"clinton",62,"independent"
"someone_else",60,"republican"
"trump",78,"independent"
"trump",80,"republican"
"trump",59,"independent"
"clinton",83,"democrat"
"someone_else",20,"independent"
"clinton",61,"democrat"
"clinton",67,"democrat"
"clinton",62,"democrat"
"trump",65,"republican"
"clinton",55,"democrat"
"trump",55,"independent"
"clinton",69,"democrat"
"trump",73,"republican"
"trump",59,"republican"
"clinton",55,"democrat"
"clinton",53,"independent"
"trump",40,"independent"
"trump",51,"republican"
"trump",69,"independent"
"clinton",32,"democrat"
"clinton",60,"democrat"
"clinton",56,"democrat"
"someone_else",44,"independent"
"clinton",70,"democrat"
"trump",67,"republican"
"clinton",48,"democrat"
"clinton",71,"independent"
"trump",35,"republican"
"trump",24,"democrat"
"someone_else",74,"independent"
"clinton",65,"democrat"
"someone_else",60,"republican"
"trump",77,"independent"
"clinton",62,"democrat"
"trump",66,"republican"
"trump",50,"independent"
"someone_else",38,"republican"
"someone_else",35,"democrat"
"clinton",56,"democrat"
"someone_else",54,"republican"
"trump",54,"republican"
"trump",23,"independent"
"someone_else",42,"independent"
"clinton",51,"democrat"
"clinton",59,"democrat"
"trump",52,"republican"
"trump",34,"independent"
"trump",43,"republican"
"clinton",59,"democrat"
"clinton",32,"democrat"
"clinton",36,"democrat"
"trump",42,"independent"
"clinton",67,"democrat"
"clinton",28,"democrat"
"clinton",71,"democrat"
"trump",55,"independent"
"clinton",56,"democrat"
"trump",69,"independent"
"trump",63,"independent"
"clinton",36,"democrat"
"clinton",61,"democrat"
"trump",74,"republican"
"trump",59,"independent"
"clinton",62,"independent"
"trump",62,"independent"
"someone_else",56,"republican"
"trump",52,"republican"
"clinton",63,"independent"
"trump",60,"independent"
"someone_else",52,"republican"
"clinton",40,"democrat"
"clinton",60,"independent"
"someone_else",44,"republican"
"clinton",49,"democrat"
"clinton",72,"democrat"
"someone_else",67,"independent"
"clinton",27,"republican"
"clinton",55,"democrat"
"trump",32,"independent"
"trump",30,"republican"
"trump",74,"republican"
"trump",71,"independent"
"clinton",64,"democrat"
"clinton",75,"democrat"
"someone_else",42,"independent"
"trump",48,"democrat"
"clinton",57,"democrat"
"clinton",67,"democrat"
"trump",65,"democrat"
"trump",63,"republican"
"trump",57,"republican"
"trump",57,"republican"
"clinton",31,"democrat"
"clinton",58,"independent"
"clinton",60,"democrat"
"clinton",39,"democrat"
"trump",54,"republican"
"trump",64,"republican"
"clinton",57,"democrat"
"trump",63,"independent"
"clinton",76,"democrat"
"clinton",53,"democrat"
"clinton",33,"democrat"
"trump",67,"independent"
"clinton",44,"democrat"
"someone_else",28,"independent"
"clinton",78,"democrat"
"clinton",37,"independent"
"clinton",56,"democrat"
"trump",68,"independent"
"trump",42,"independent"
"trump",68,"independent"
"clinton",64,"democrat"
"trump",63,"republican"
"clinton",33,"democrat"
"clinton",25,"independent"
"trump",36,"republican"
"clinton",34,"democrat"
"someone_else",80,"independent"
"someone_else",60,"independent"
"trump",32,"republican"
"trump",95,"republican"
"trump",76,"independent"
"trump",77,"independent"
"clinton",70,"democrat"
"clinton",25,"independent"
"trump",60,"independent"
"clinton",22,"democrat"
"someone_else",43,"democrat"
"clinton",72,"democrat"
"someone_else",44,"independent"
"trump",38,"democrat"
"clinton",34,"democrat"
"clinton",33,"democrat"
"clinton",62,"democrat"
"clinton",62,"independent"
"clinton",33,"democrat"
"trump",38,"independent"
"clinton",21,"democrat"
"trump",35,"republican"
"clinton",49,"democrat"
"clinton",61,"independent"
"clinton",62,"democrat"
"clinton",46,"democrat"
"trump",67,"republican"
"clinton",40,"independent"
"clinton",69,"democrat"
"clinton",44,"democrat"
"clinton",21,"democrat"
"trump",56,"democrat"
"clinton",56,"democrat"
"clinton",28,"democrat"
"clinton",82,"democrat"
"clinton",69,"democrat"
"clinton",36,"republican"
"clinton",24,"independent"
"clinton",63,"independent"
"clinton",25,"democrat"
"clinton",31,"democrat"
"clinton",62,"independent"
"trump",23,"independent"
"clinton",26,"democrat"
"someone_else",58,"republican"
"clinton",20,"democrat"
"clinton",35,"democrat"
"trump",38,"independent"
"clinton",65,"independent"
"clinton",37,"independent"
"trump",46,"republican"
"clinton",49,"independent"
"someone_else",64,"independent"
"clinton",36,"democrat"
"trump",60,"republican"
"trump",28,"republican"
"clinton",26,"democrat"
"clinton",25,"democrat"
"trump",57,"independent"
"clinton",28,"democrat"
"clinton",27,"independent"
"clinton",41,"independent"
"someone_else",19,"independent"
"someone_else",43,"independent"
"someone_else",49,"republican"
"clinton",56,"independent"
"clinton",31,"democrat"
"trump",64,"republican"
"clinton",56,"democrat"
"clinton",41,"democrat"
"trump",20,"independent"
"clinton",32,"independent"
"trump",62,"democrat"
"clinton",30,"independent"
"trump",74,"republican"
"trump",52,"independent"
"someone_else",59,"democrat"
"clinton",35,"independent"
"clinton",55,"democrat"
"trump",41,"republican"
"trump",33,"independent"
"trump",52,"independent"
"clinton",48,"democrat"
"trump",66,"independent"
"clinton",44,"democrat"
"clinton",72,"democrat"
"someone_else",26,"independent"
"clinton",20,"democrat"
"clinton",42,"democrat"
"trump",46,"republican"
"someone_else",56,"independent"
"clinton",28,"democrat"
"clinton",21,"independent"
"someone_else",42,"independent"
"clinton",55,"democrat"
"someone_else",57,"democrat"
"clinton",35,"independent"
"clinton",40,"democrat"
"clinton",20,"independent"
"trump",39,"republican"
"clinton",27,"democrat"
"clinton",29,"democrat"
"clinton",62,"democrat"
"clinton",53,"independent"
"clinton",24,"democrat"
"trump",25,"independent"
"trump",57,"independent"
"trump",64,"independent"
"trump",69,"independent"
"clinton",73,"democrat"
"trump",70,"independent"
"trump",34,"republican"
"trump",40,"republican"
"clinton",62,"independent"
"trump",27,"democrat"
"trump",68,"republican"
"trump",23,"republican"
"clinton",67,"democrat"
"trump",62,"independent"
"clinton",21,"democrat"
"trump",21,"republican"
"trump",29,"independent"
"trump",24,"republican"
"clinton",35,"democrat"
"clinton",32,"democrat"
"trump",40,"independent"
"clinton",35,"democrat"
"clinton",22,"democrat"
"clinton",24,"independent"
"clinton",22,"independent"
"clinton",30,"independent"
"someone_else",37,"independent"
"trump",28,"democrat"
"someone_else",45,"independent"
"trump",42,"independent"
"trump",79,"republican"
"someone_else",29,"democrat"
"trump",27,"republican"
"clinton",21,"democrat"
"trump",43,"republican"
"clinton",29,"democrat"
"clinton",52,"democrat"
"trump",43,"republican"
"clinton",56,"independent"
"clinton",29,"independent"
"clinton",51,"democrat"
"clinton",22,"democrat"
"clinton",22,"republican"
"trump",31,"republican"
"clinton",37,"republican"
"clinton",20,"democrat"
"clinton",38,"democrat"
"clinton",41,"democrat"
"someone_else",39,"independent"
"clinton",62,"democrat"
"clinton",42,"democrat"
"trump",29,"republican"
"trump",26,"democrat"
"clinton",45,"democrat"
"trump",64,"republican"
"trump",62,"democrat"
"trump",34,"independent"
"clinton",29,"democrat"
"someone_else",22,"democrat"
"trump",28,"democrat"
"trump",39,"republican"
"trump",52,"republican"
"someone_else",30,"republican"
"trump",67,"republican"
"trump",54,"independent"
"trump",24,"independent"
"clinton",37,"democrat"
"trump",34,"democrat"
"clinton",30,"independent"
"trump",30,"republican"
"clinton",20,"independent"
"clinton",51,"democrat"
"trump",34,"independent"
"trump",28,"republican"
"clinton",20,"democrat"
"trump",27,"independent"
"clinton",25,"democrat"
"clinton",46,"democrat"
"trump",65,"independent"
"someone_else",23,"independent"
"clinton",63,"democrat"
"clinton",22,"democrat"
"trump",47,"republican"
"clinton",24,"independent"
"trump",56,"republican"
"clinton",38,"democrat"
"clinton",81,"democrat"
"trump",43,"independent"
"someone_else",34,"republican"
"someone_else",54,"republican"
"clinton",27,"democrat"
"clinton",19,"democrat"
"trump",31,"democrat"
"clinton",55,"republican"
"someone_else",31,"republican"
"someone_else",49,"democrat"
"clinton",21,"democrat"
"clinton",26,"independent"
"clinton",43,"independent"
"trump",46,"independent"
"clinton",64,"democrat"
"someone_else",31,"independent"
"clinton",39,"democrat"
"clinton",39,"independent"
